City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,0,17.79,223.42,123.26,64.15,148.07,98.52,102.82,35.58,185.26,121.44,99.99,112.08,68.54,57.02,191.46,57.19,68.29,99.99,114.53,67.35,151.92,182.3,185.61,77.84,98.7,166.78,36.23,107.38,143.81,160.57,137.7,107.02,246.17,138.31,74.74,152.54,73.36,137.5,218.55,181.1,181.08,187.52,147.21,167.11,154.33,142.26,116.11,112.14,62.63
Antwerp,17.79,0,216.31,112.25,69.39,142.73,101.18,99.47,17.79,181.75,117.85,111.24,111.88,71.91,64.54,182.36,48.63,57.51,111.24,129.29,74.7,159.79,183.27,176.99,84.48,92.17,167.66,26.43,89.73,133.78,142.84,122.15,96.84,231.59,154.79,58.16,144.39,71.54,142.84,203.26,171.21,175.71,200.91,154.55,160.02,148.36,146.75,117.93,105.4,53.18
Athens,223.42,216.31,0,186.34,285.36,81.85,184.29,131.73,209.54,81.85,115.96,216.83,171.21,285.88,280.41,274.06,187.78,172.79,285.69,239.47,204.46,255.85,155.02,281.12,268.32,124.86,309.41,191.31,179.58,227.88,166.77,147.02,156.58,85.08,261.98,210.06,270.1,161.48,211.4,104.84,247.74,55.6,247.28,244.74,56.32,134.97,200.73,167.53,111.33,166.0
Barcelona,123.26,112.25,186.34,0,153.64,150.96,148.13,141.78,101.27,198.83,151.03,172.14,144.39,146.36,159.95,97.1,110.37,64.26,161.8,189.26,146.36,259.74,238.22,100.02,138.63,111.45,149.39,94.32,60.62,43.71,33.3,72.2,105.47,101.99,207.81,77.84,83.87,136.64,230.62,83.87,75.04,174.8,229.17,252.06,142.44,135.27,229.38,189.01,114.53,82.13
Belfast,64.15,69.39,285.36,153.64,0,211.91,122.14,166.9,75.9,249.29,185.55,110.06,132.42,12.94,17.04,190.43,99.29,118.45,12.86,105.86,99.64,186.03,241.11,180.5,17.28,161.55,52.53,94.11,113.89,156.39,142.48,141.77,129.9,210.79,107.19,82.68,146.27,136.97,184.9,191.88,189.03,244.91,150.77,184.77,229.14,160.59,192.54,174.4,174.74,120.14
Belgrade,148.07,142.73,81.85,150.96,211.91,0,102.97,50.14,138.07,47.98,34.26,135.07,89.88,214.46,204.7,247.81,112.62,112.14,210.41,157.63,124.02,179.93,100.85,250.9,195.53,52.14,243.43,120.47,119.83,194.5,121.33,87.88,82.45,66.57,180.13,145.58,230.82,80.7,136.4,73.54,224.19,33.01,167.35,169.0,34.35,54.14,127.45,89.26,41.18,99.17
Berlin,98.52,101.18,184.29,148.13,122.14,102.97,0,52.86,106.78,131.05,70.44,54.41,20.96,128.71,110.67,234.06,66.31,83.94,187.12,91.31,37.04,111.91,120.73,231.03,173.83,67.11,265.19,59.66,141.66,181.08,186.52,133.11,74.74,213.85,128.12,144.31,200.75,23.31,84.4,196.08,218.32,134.32,134.25,103.94,130.54,78.99,85.95,54.74,79.21,66.26
Bratislava,102.82,99.47,131.73,141.78,166.9,50.14,52.86,0,97.27,82.45,18.69,85.13,39.77,171.03,158.01,237.08,69.27,86.25,163.99,107.9,74.38,140.87,97.27,237.28,151.36,31.81,203.66,81.73,93.57,182.27,108.62,69.68,44.63,92.12,130.61,111.43,211.83,31.2,100.92,87.31,216.69,81.66,122.49,130.61,79.43,7.44,95.39,52.86,36.7,68.48
Brussels,35.58,17.79,209.54,101.27,75.9,138.07,106.78,97.27,0,178.85,115.22,124.03,114.46,76.75,72.98,173.49,45.74,46.9,124.03,144.74,85.18,168.02,184.89,168.65,94.06,86.58,170.38,18.23,72.15,123.94,125.14,107.3,89.07,217.48,171.54,42.55,136.64,71.42,148.81,188.41,161.48,170.89,214.93,162.31,153.38,144.34,151.91,120.73,99.44,44.5
Bucharest,185.26,181.75,81.85,198.83,249.29,47.98,131.05,82.45,178.85,0,63.91,158.09,118.84,253.45,239.97,295.53,151.41,158.39,246.04,178.47,154.03,178.42,43.96,298.82,233.81,58.1,285.31,162.28,166.11,242.43,169.29,135.03,123.85,108.54,199.08,189.8,278.73,112.62,134.18,119.35,271.61,19.8,175.45,167.35,39.81,89.03,73.51,96.36,87.88,143.85
