City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,0,66.72,837.83,462.21,240.55,555.28,369.44,385.57,133.43,694.71,455.41,374.96,420.3,257.02,213.83,717.99,214.45,256.07,374.96,429.47,252.57,569.7,683.63,696.03,291.9,370.11,625.42,135.86,402.68,539.28,602.13,516.39,401.34,923.12,518.66,280.28,572.03,275.09,515.61,819.55,679.11,679.03,703.2,552.04,626.68,578.72,533.46,435.43,420.54,234.86
Antwerp,66.72,0,811.16,420.94,260.19,535.24,379.44,373.01,66.72,681.57,441.95,417.16,419.54,269.66,242.02,683.86,182.36,215.67,417.16,484.84,280.13,599.21,687.28,663.71,316.8,345.64,628.71,99.13,336.49,501.68,535.66,458.08,363.15,868.46,580.47,218.08,541.45,268.27,535.65,762.23,642.04,658.91,753.4,579.56,600.06,556.35,550.31,442.22,395.26,199.42
Athens,837.83,811.16,0,698.78,1070.1,306.94,691.07,493.99,785.76,306.94,434.86,813.12,642.04,1072.07,1051.53,1027.71,704.17,647.96,1071.35,898.01,766.74,959.43,581.32,1054.2,1006.18,468.21,1160.29,717.41,673.44,854.53,625.39,551.31,587.18,319.03,982.41,787.74,1012.86,605.55,792.76,393.16,929.04,208.49,927.29,917.76,211.18,506.13,752.72,628.23,417.47,622.48
Barcelona,462.21,420.94,698.78,0,576.14,566.1,555.5,531.69,379.77,745.62,566.38,645.53,541.45,548.86,599.82,364.14,413.9,240.97,606.75,709.71,548.86,974.01,893.33,375.06,519.86,417.94,560.21,353.69,227.34,163.9,124.87,270.73,395.51,382.46,779.28,291.89,314.53,512.42,864.83,314.53,281.4,655.51,859.39,945.22,534.14,507.25,860.17,708.8,429.47,307.99
Belfast,240.55,260.19,1070.1,576.14,0,794.65,458.03,625.87,284.62,934.85,695.8,412.71,496.58,48.52,63.9,714.11,372.34,444.19,48.22,396.96,373.66,697.6,904.18,676.88,64.8,605.81,196.98,352.91,427.08,586.48,534.31,531.65,487.12,790.46,401.97,310.06,548.49,513.62,693.38,719.56,708.87,918.42,565.38,692.89,859.26,602.22,722.03,654.0,655.27,450.53
Belgrade,555.28,535.24,306.94,566.1,794.65,0,386.14,188.03,517.75,179.93,128.46,506.5,337.03,804.24,767.61,929.29,422.31,420.54,789.04,591.13,465.09,674.72,378.19,940.88,733.23,195.51,912.87,451.75,449.36,729.39,454.98,329.54,309.18,249.65,675.48,545.93,865.59,302.61,511.51,275.76,840.72,123.78,627.55,633.75,128.81,203.02,477.94,334.74,154.41,371.9
Berlin,369.44,379.44,691.07,555.5,458.03,386.14,0,198.21,400.42,491.45,264.14,204.04,78.59,482.67,415.02,877.74,248.66,314.76,701.69,342.43,138.9,419.66,452.73,866.35,651.88,251.67,994.45,223.72,531.21,679.06,699.45,499.18,280.28,801.92,480.46,541.18,752.81,87.43,316.49,735.3,818.68,503.71,503.45,389.79,489.53,296.2,322.33,205.27,297.04,248.47
Bratislava,385.57,373.01,493.99,531.69,625.87,188.03,198.21,0,364.77,309.18,70.09,319.24,149.13,641.37,592.55,889.04,259.75,323.43,614.97,404.64,278.92,528.27,364.77,889.8,567.62,119.29,763.73,306.5,350.9,683.5,407.34,261.3,167.37,345.43,489.8,417.86,794.37,116.99,378.47,327.41,812.59,306.21,459.34,489.8,297.86,27.9,357.73,198.21,137.62,256.79
Brussels,133.43,66.72,785.76,379.77,284.62,517.75,400.42,364.77,0,670.7,432.06,465.12,429.24,287.81,273.67,650.58,171.52,175.86,465.12,542.76,319.44,630.07,693.35,632.45,352.71,324.67,638.92,68.35,270.57,464.77,469.26,402.37,334.02,815.55,643.26,159.57,512.42,267.83,558.04,706.54,605.55,640.82,805.98,608.66,575.19,541.27,569.67,452.73,372.9,166.87
Bucharest,694.71,681.57,306.94,745.62,934.85,179.93,491.45,309.18,670.7,0,239.66,592.83,445.64,950.45,899.9,1108.23,567.8,593.96,922.66,669.26,577.59,669.07,164.84,1120.56,876.8,217.88,1069.92,608.56,622.92,909.1,634.83,506.38,464.45,407.03,746.56,711.76,1045.23,422.31,503.19,447.58,1018.55,74.27,657.93,627.55,149.27,333.87,275.68,361.37,329.54,539.43
Budapest,455.41,441.95,434.86,566.38,695.8,128.46,264.14,70.09,432.06,239.66,0,380.38,215.6,710.81,662.63,928.4,328.27,375.02,685.06,464.09,347.04,555.69,328.27,932.56,637.27,149.42,831.37,371.68,403.45,723.44,444.43,301.18,229.08,328.57,547.85,479.73,842.79,186.3,396.83,326.34,847.64,239.96,500.99,515.51,250.19,94.23,368.55,215.39,142.73,312.56
