City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,0,88.96,1117.1,616.28,320.73,740.37,492.59,514.09,177.91,926.29,607.21,499.95,560.4,342.7,285.11,957.32,285.93,341.43,499.95,572.63,336.76,759.6,911.51,928.05,389.2,493.48,833.89,181.15,536.9,719.05,802.83,688.51,535.12,1230.83,691.55,373.71,762.7,366.78,687.48,1092.73,905.48,905.38,937.6,736.05,835.57,771.63,711.28,580.57,560.72,313.15
Antwerp,88.96,0,1081.55,561.26,346.93,713.66,505.92,497.34,88.96,908.76,589.26,556.22,559.39,359.55,322.69,911.81,243.15,287.56,556.22,646.46,373.5,798.95,916.37,884.95,422.4,460.85,838.28,132.17,448.66,668.91,714.21,610.77,484.2,1157.94,773.96,290.78,721.93,357.7,714.2,1016.3,856.05,878.55,1004.54,772.74,800.08,741.8,733.75,589.63,527.01,265.89
Athens,1117.1,1081.55,0,931.71,1426.79,409.25,921.43,658.66,1047.68,409.25,579.81,1084.16,856.05,1429.42,1402.03,1370.28,938.89,863.94,1428.47,1197.34,1022.32,1279.24,775.09,1405.6,1341.58,624.28,1547.05,956.55,897.91,1139.38,833.85,735.08,782.91,425.38,1309.88,1050.32,1350.48,807.41,1057.02,524.22,1238.71,277.99,1236.39,1223.68,281.58,674.84,1003.63,837.64,556.63,829.98
Barcelona,616.28,561.26,931.71,0,768.19,754.8,740.67,708.92,506.36,994.16,755.17,860.7,721.93,731.81,799.77,485.52,551.87,321.3,809.0,946.29,731.81,1298.68,1191.11,500.08,693.15,557.25,746.94,471.58,303.12,218.54,166.5,360.98,527.34,509.95,1039.04,389.18,419.37,683.22,1153.11,419.37,375.2,874.01,1145.86,1260.29,712.19,676.33,1146.9,945.07,572.63,410.65
Belfast,320.73,346.93,1426.79,768.19,0,1059.53,610.7,834.49,379.49,1246.47,927.74,550.29,662.11,64.69,85.2,952.14,496.45,592.25,64.29,529.28,498.21,930.13,1205.57,902.51,86.4,807.75,262.64,470.55,569.44,781.97,712.41,708.87,649.5,1053.94,535.96,413.42,731.33,684.83,924.5,959.41,945.16,1224.55,753.85,923.86,1145.68,802.96,962.71,872.0,873.69,600.71
Belgrade,740.37,713.66,409.25,754.8,1059.53,0,514.86,250.71,690.33,239.91,171.28,675.33,449.38,1072.31,1023.48,1239.06,563.08,560.72,1052.06,788.17,620.12,899.63,504.25,1254.51,977.64,260.68,1217.16,602.33,599.14,972.51,606.64,439.38,412.24,332.87,900.64,727.9,1154.12,403.49,682.02,367.68,1120.96,165.04,836.74,845.0,171.75,270.7,637.25,446.32,205.88,495.86
Berlin,492.59,505.92,921.43,740.67,610.7,514.86,0,264.28,533.9,655.27,352.19,272.06,104.78,643.56,553.36,1170.32,331.55,419.68,935.59,456.57,185.2,559.55,603.65,1155.14,869.17,335.56,1325.94,298.29,708.28,905.42,932.6,665.57,373.71,1069.23,640.61,721.57,1003.75,116.57,421.98,980.4,1091.58,671.61,671.27,519.72,652.7,394.93,429.77,273.7,396.05,331.29
Bratislava,514.09,497.34,658.66,708.92,834.49,250.71,264.28,0,486.36,412.24,93.45,425.66,198.84,855.15,790.07,1185.39,346.34,431.24,819.96,539.51,371.89,704.36,486.36,1186.4,756.82,159.05,1018.31,408.67,467.87,911.33,543.11,348.4,223.16,460.58,653.07,557.15,1059.16,155.98,504.62,436.55,1083.45,408.28,612.45,653.07,397.14,37.2,476.97,264.28,183.5,342.39
Brussels,177.91,88.96,1047.68,506.36,379.49,690.33,533.9,486.36,0,894.27,576.08,620.16,572.32,383.75,364.89,867.44,228.69,234.48,620.16,723.68,425.92,840.1,924.46,843.27,470.28,432.89,851.9,91.13,360.76,619.69,625.68,536.5,445.35,1087.4,857.68,212.76,683.22,357.11,744.06,942.05,807.41,854.43,1074.63,811.55,766.92,721.69,759.56,603.65,497.2,222.5
Bucharest,926.29,908.76,409.25,994.16,1246.47,239.91,655.27,412.24,894.27,0,319.55,790.44,594.19,1267.26,1199.87,1477.64,757.07,791.95,1230.22,892.34,770.13,892.09,219.79,1494.08,1169.06,290.5,1426.56,811.41,830.57,1212.13,846.44,675.17,619.27,542.71,995.41,949.01,1393.64,563.08,670.91,596.77,1358.07,99.02,877.24,836.74,199.03,445.16,367.57,481.82,439.38,719.24
