City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,0,1.85,37.24,20.54,10.69,24.68,10.26,17.14,3.71,30.88,20.24,10.42,11.67,11.42,9.5,31.91,5.96,11.38,10.42,11.93,7.02,25.32,30.38,30.93,8.11,16.45,17.37,6.04,11.19,23.97,16.73,14.34,11.15,25.64,14.41,7.79,25.42,12.23,22.92,22.77,30.18,30.18,19.53,24.54,27.85,16.08,23.71,19.35,18.69,10.44
Antwerp,1.85,0,36.05,18.71,11.56,23.79,10.54,16.58,1.85,30.29,19.64,11.59,11.65,11.98,10.76,30.39,5.07,9.59,11.59,13.47,7.78,26.63,30.55,29.5,8.8,15.36,17.46,4.41,9.35,22.3,14.88,12.72,10.09,24.12,16.12,6.06,24.06,11.92,23.81,21.17,28.54,29.28,20.93,25.76,26.67,15.45,24.46,19.65,17.57,8.86
Athens,37.24,36.05,0,31.06,47.56,13.64,30.71,21.96,34.92,13.64,19.33,36.14,28.54,47.65,46.73,45.68,31.3,28.8,47.62,39.91,34.08,42.64,25.84,46.85,44.72,20.81,51.57,31.88,29.93,37.98,27.8,24.5,26.1,14.18,43.66,35.01,45.02,26.91,35.23,17.47,41.29,9.27,41.21,40.79,9.39,22.49,33.45,27.92,18.55,27.67
Barcelona,20.54,18.71,31.06,0,25.61,25.16,24.69,23.63,16.88,33.14,25.17,28.69,24.06,24.39,26.66,16.18,18.4,10.71,26.97,31.54,24.39,43.29,39.7,16.67,23.11,18.57,24.9,15.72,10.1,7.28,5.55,12.03,17.58,17.0,34.63,12.97,13.98,22.77,38.44,13.98,12.51,29.13,38.2,42.01,23.74,22.54,38.23,31.5,19.09,13.69
Belfast,10.69,11.56,47.56,25.61,0,35.32,20.36,27.82,12.65,41.55,30.92,18.34,22.07,2.16,2.84,31.74,16.55,19.74,2.14,17.64,16.61,31.0,40.19,30.08,2.88,26.93,8.75,15.69,18.98,26.07,23.75,23.63,21.65,35.13,17.87,13.78,24.38,22.83,30.82,31.98,31.51,40.82,25.13,30.8,38.19,26.77,32.09,29.07,29.12,20.02
Belgrade,24.68,23.79,13.64,25.16,35.32,0,17.16,8.36,23.01,8.0,5.71,22.51,14.98,35.74,34.12,41.3,18.77,18.69,35.07,26.27,20.67,29.99,16.81,41.82,32.59,8.69,40.57,20.08,19.97,32.42,20.22,14.65,13.74,11.1,30.02,24.26,38.47,13.45,22.73,12.26,37.37,5.5,27.89,28.17,5.73,9.02,21.24,14.88,6.86,16.53
Berlin,10.26,10.54,30.71,24.69,20.36,17.16,0,8.81,11.12,21.84,11.74,5.67,2.18,21.45,18.45,39.01,6.91,13.99,19.49,9.51,3.86,18.65,20.12,38.5,18.11,11.19,27.62,9.94,14.76,30.18,19.43,13.87,7.79,22.28,13.35,15.03,33.46,3.89,14.07,20.43,36.39,22.39,13.98,17.32,21.76,8.23,14.33,9.12,13.2,11.04
Bratislava,17.14,16.58,21.96,23.63,27.82,8.36,8.81,0,16.21,13.74,3.12,14.19,6.63,28.51,26.34,39.51,11.54,14.37,27.33,17.98,12.4,23.48,16.21,39.55,25.23,5.3,33.94,13.62,15.6,30.38,18.1,11.61,7.44,15.35,21.77,18.57,35.31,5.2,16.82,14.55,36.12,13.61,20.41,21.77,13.24,1.24,15.9,8.81,6.12,11.41
Brussels,3.71,1.85,34.92,16.88,12.65,23.01,11.12,16.21,0,29.81,19.2,12.92,11.92,12.79,12.16,28.91,4.76,7.82,12.92,15.08,8.87,28.0,30.82,28.11,9.8,14.43,17.75,3.04,7.52,20.66,13.03,11.18,9.28,22.65,17.87,4.43,22.77,11.9,24.8,19.63,26.91,28.48,22.39,27.05,25.56,15.04,25.32,20.12,16.57,7.42
Bucharest,30.88,30.29,13.64,33.14,41.55,8.0,21.84,13.74,29.81,0,10.65,26.35,19.81,42.24,40.0,49.25,25.24,26.4,41.01,29.74,25.67,29.74,12.21,49.8,38.97,16.14,47.55,27.05,27.69,40.4,28.21,22.51,20.64,18.09,33.18,31.63,46.45,18.77,22.36,19.89,45.27,5.5,29.24,27.89,11.06,14.84,20.42,16.06,14.65,23.97
Budapest,20.24,19.64,19.33,25.17,30.92,5.71,11.74,3.12,19.2,10.65,0,16.91,9.58,31.59,29.45,41.26,14.59,16.67,30.45,20.63,15.42,24.7,14.59,41.45,28.32,6.64,36.95,16.52,17.93,32.15,19.75,13.39,10.18,14.6,24.35,21.32,37.46,8.28,17.64,14.5,37.67,10.67,22.27,22.91,11.12,4.19,16.38,9.57,6.34,13.89
Copenhagen,10.42,11.59,36.14,28.69,18.34,22.51,5.67,14.19,12.92,26.35,16.91,0,7.74,19.9,15.91,41.82,10.3,18.1,16.97,3.85,4.3,15.08,22.24,41.03,16.72,16.84,26.56,13.05,18.59,33.39,23.78,18.87,13.02,27.91,7.68,17.33,35.64,9.54,12.72,25.95,39.66,27.55,9.56,14.17,27.33,13.76,13.8,11.36,18.87,15.54
Dresden,11.67,11.65,28.54,24.06,22.07,14.98,2.18,6.63,11.92,19.81,9.58,7.74,0,23.04,20.29,38.88,7.31,13.49,21.33,11.59,5.88,19.66,18.91,38.51,19.7,9.27,29.02,10.22,14.4,29.92,18.66,12.72,6.63,20.39,15.42,15.45,33.64,1.85,14.38,18.71,36.05,20.22,15.42,18.2,19.61,6.06,14.31,8.28,11.19,10.39
Dublin,11.42,11.98,47.65,24.39,2.16,35.74,21.45,28.51,12.79,42.24,31.59,19.9,23.04,0,4.94,29.76,17.05,19.37,4.3,19.47,17.81,32.95,41.46,28.06,3.35,27.21,6.8,15.81,18.5,24.39,22.96,23.42,22.01,34.87,19.89,13.21,22.38,23.65,32.49,31.65,29.68,41.23,27.05,32.69,38.32,27.41,33.69,30.34,29.36,19.99
Edinburgh,9.5,10.76,46.73,26.66,2.84,34.12,18.45,26.34,12.16,40.0,29.45,15.91,20.29,4.94,0,33.95,15.46,19.73,1.06,14.95,14.61,28.2,37.98,32.39,3.71,25.95,11.59,15.11,19.13,27.8,24.24,23.34,20.65,34.82,15.03,14.19,26.66,21.23,28.22,31.78,33.45,39.61,22.34,28.03,37.35,25.35,29.56,26.89,28.19,19.56
Faro,31.91,30.39,45.68,16.18,31.74,41.3,39.01,39.51,28.91,49.25,41.26,41.82,38.88,29.76,33.95,0,32.16,25.54,33.74,43.83,37.67,56.9,55.7,2.37,30.35,34.63,26.25,29.14,24.51,9.14,21.51,27.94,32.85,32.3,46.14,24.5,7.41,37.9,53.07,29.67,4.44,45.03,51.3,55.88,39.42,38.37,53.19,46.84,35.26,28.69
Frankfurt,5.96,5.07,31.3,18.4,16.55,18.77,6.91,11.54,4.76,25.24,14.59,10.3,7.31,17.05,15.46,32.16,0,7.82,16.37,13.38,6.02,25.02,26.11,31.61,13.84,10.5,22.41,3.04,8.29,23.43,13.52,9.35,5.2,20.12,16.82,8.18,26.55,7.15,20.95,17.46,29.67,24.27,19.8,23.86,21.92,10.4,21.23,15.58,12.74,5.56
Geneva,11.38,9.59,28.8,10.71,19.74,18.69,13.99,14.37,7.82,26.4,16.67,18.1,13.49,19.37,19.73,25.54,7.82,0,20.38,21.17,13.83,32.58,30.53,25.36,16.87,10.29,22.77,5.56,1.29,16.49,5.71,4.31,7.32,15.52,24.5,6.27,20.94,12.37,27.85,12.28,22.57,23.79,27.54,31.3,19.75,13.16,27.78,21.3,11.83,3.15
Glasgow,10.42,11.59,47.62,26.97,2.14,35.07,19.49,27.33,12.92,41.01,30.45,16.97,21.33,4.3,1.06,33.74,16.37,20.38,0,15.95,15.67,29.12,39.04,32.12,3.86,26.86,10.76,15.9,19.73,27.83,24.74,24.07,21.55,35.57,15.91,14.69,26.4,22.24,29.25,32.5,33.38,40.56,23.28,28.98,38.23,26.34,30.6,27.95,29.09,20.33
Gothenburg,11.93,13.47,39.91,31.54,17.64,26.27,9.51,17.98,15.08,29.74,20.63,3.85,11.59,19.47,14.95,43.83,13.38,21.17,15.95,0,7.49,13.73,24.51,42.86,16.58,20.67,26.26,15.83,21.51,35.73,26.89,22.36,16.68,31.71,3.83,19.49,37.32,13.38,13.4,29.68,41.98,31.22,7.8,13.27,31.16,17.6,14.95,14.18,22.71,18.84
Hamburg,7.02,7.78,34.08,24.39,16.61,20.67,3.86,12.4,8.87,25.67,15.42,4.3,5.88,17.81,14.61,37.67,6.02,13.83,15.67,7.49,0,19.25,23.65,36.94,14.48,13.83,24.16,8.76,14.29,29.15,19.53,14.88,9.34,24.62,11.12,13.21,31.65,7.22,16.03,22.38,35.42,26.0,13.85,18.22,24.93,11.65,16.72,12.53,16.01,11.37
Helsinki,25.32,26.63,42.64,43.29,31.0,29.99,18.65,23.48,28.0,29.74,24.7,15.08,19.66,32.95,28.2,56.9,25.02,32.58,29.12,13.73,19.25,0,19.58,56.11,30.23,28.17,39.74,27.94,33.25,48.39,38.08,32.37,26.26,38.83,13.27,32.41,50.7,21.31,7.41,37.81,54.65,33.38,5.94,1.85,35.68,23.84,9.32,15.14,29.53,29.69
Kyiv,30.38,30.55,25.84,39.7,40.19,16.81,20.12,16.21,30.82,12.21,14.59,22.24,18.91,41.46,37.98,55.7,26.11,30.53,39.04,24.51,23.65,19.58,0,55.76,38.13,21.13,47.74,28.82,31.71,46.57,34.23,27.77,23.33,27.88,27.05,34.04,51.46,19.02,12.97,28.6,52.21,17.33,21.03,17.87,21.92,17.39,10.84,11.12,20.89,27.48
Lisbon,30.93,29.5,46.85,16.67,30.08,41.82,38.5,39.55,28.11,49.8,41.45,41.03,38.51,28.06,32.39,2.37,31.61,25.36,32.12,42.86,36.94,56.11,55.76,0,28.85,34.81,24.23,28.57,24.26,9.4,21.76,28.06,32.68,33.24,45.02,23.74,5.74,37.62,52.56,30.46,6.17,45.76,50.42,55.15,40.25,38.37,52.77,46.58,35.58,28.5
Liverpool,8.11,8.8,44.72,23.11,2.88,32.59,18.11,25.23,9.8,38.97,28.32,16.72,19.7,3.35,3.71,30.35,13.84,16.87,3.86,16.58,14.48,30.23,38.13,28.85,0,24.14,9.84,12.84,16.13,24.09,20.99,20.75,18.88,32.25,17.42,10.98,23.11,20.33,29.39,29.1,29.76,38.08,24.3,29.85,35.36,24.15,30.52,27.01,26.32,17.15
Ljubljana,16.45,15.36,20.81,18.57,26.93,8.69,11.19,5.3,14.43,16.14,6.64,16.84,9.27,27.21,25.95,34.63,10.5,10.29,26.86,20.67,13.83,28.17,21.13,34.81,24.14,0,31.89,11.45,11.58,25.51,13.12,6.75,5.3,11.12,24.5,15.6,30.88,7.41,21.85,9.65,31.08,14.09,24.5,26.54,11.44,4.49,21.08,13.99,2.26,7.87
London,17.37,17.46,51.57,24.9,8.75,40.57,27.62,33.94,17.75,47.55,36.95,26.56,29.02,6.8,11.59,26.25,22.41,22.77,10.76,26.26,24.16,39.74,47.74,24.23,9.84,31.89,0,20.54,21.66,22.85,24.99,27.07,26.95,38.06,26.62,16.58,18.93,29.39,39.22,34.71,27.13,45.97,33.85,39.49,42.44,32.78,40.36,36.67,33.89,24.18
Luxembourg,6.04,4.41,31.88,15.72,15.69,20.08,9.94,13.62,3.04,27.05,16.52,13.05,10.22,15.81,15.11,29.14,3.04,5.56,15.9,15.83,8.76,27.94,28.82,28.57,12.84,11.45,20.54,0,5.7,20.46,11.19,8.32,6.41,19.72,19.03,5.25,23.52,9.8,23.99,16.77,26.71,25.53,22.61,26.82,22.53,12.41,24.26,18.5,13.56,4.46
Lyon,11.19,9.35,29.93,10.1,18.98,19.97,14.76,15.6,7.52,27.69,17.93,18.59,14.4,18.5,19.13,24.51,8.29,1.29,19.73,21.51,14.29,33.25,31.71,24.26,16.13,11.58,21.66,5.7,0,15.52,5.56,5.52,8.44,16.49,24.73,5.3,19.75,13.38,28.72,13.2,21.66,25.05,28.09,32.02,20.94,14.37,28.71,22.34,13.11,4.25
