City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,0,1.11,22.34,12.33,6.41,14.81,6.16,10.28,2.22,18.53,12.14,6.25,7.0,6.85,5.7,19.15,3.57,6.83,6.25,7.16,4.21,15.19,18.23,18.56,4.86,9.87,10.42,3.62,6.71,14.38,10.04,8.61,6.69,15.39,8.64,4.67,15.25,7.34,13.75,13.66,18.11,18.11,11.72,14.72,16.71,9.65,14.23,11.61,11.21,6.26
Antwerp,1.11,0,21.63,11.23,6.94,14.27,6.32,9.95,1.11,18.18,11.79,6.95,6.99,7.19,6.45,18.24,3.04,5.75,6.95,8.08,4.67,15.98,18.33,17.7,5.28,9.22,10.48,2.64,5.61,13.38,8.93,7.63,6.05,14.47,9.67,3.63,14.44,7.15,14.28,12.7,17.12,17.57,12.56,15.45,16.0,9.27,14.67,11.79,10.54,5.32
Athens,22.34,21.63,0,18.63,28.54,8.18,18.43,13.17,20.95,8.18,11.6,21.68,17.12,28.59,28.04,27.41,18.78,17.28,28.57,23.95,20.45,25.58,15.5,28.11,26.83,12.49,30.94,19.13,17.96,22.79,16.68,14.7,15.66,8.51,26.2,21.01,27.01,16.15,21.14,10.48,24.77,5.56,24.73,24.47,5.63,13.5,20.07,16.75,11.13,16.6
Barcelona,12.33,11.23,18.63,0,15.36,15.1,14.81,14.18,10.13,19.88,15.1,17.21,14.44,14.64,16.0,9.71,11.04,6.43,16.18,18.93,14.64,25.97,23.82,10.0,13.86,11.14,14.94,9.43,6.06,4.37,3.33,7.22,10.55,10.2,20.78,7.78,8.39,13.66,23.06,8.39,7.5,17.48,22.92,25.21,14.24,13.53,22.94,18.9,11.45,8.21
Belfast,6.41,6.94,28.54,15.36,0,21.19,12.21,16.69,7.59,24.93,18.55,11.01,13.24,1.29,1.7,19.04,9.93,11.85,1.29,10.59,9.96,18.6,24.11,18.05,1.73,16.16,5.25,9.41,11.39,15.64,14.25,14.18,12.99,21.08,10.72,8.27,14.63,13.7,18.49,19.19,18.9,24.49,15.08,18.48,22.91,16.06,19.25,17.44,17.47,12.01
Belgrade,14.81,14.27,8.18,15.1,21.19,0,10.3,5.01,13.81,4.8,3.43,13.51,8.99,21.45,20.47,24.78,11.26,11.21,21.04,15.76,12.4,17.99,10.09,25.09,19.55,5.21,24.34,12.05,11.98,19.45,12.13,8.79,8.24,6.66,18.01,14.56,23.08,8.07,13.64,7.35,22.42,3.3,16.73,16.9,3.44,5.41,12.75,8.93,4.12,9.92
Berlin,6.16,6.32,18.43,14.81,12.21,10.3,0,5.29,6.67,13.11,7.04,3.4,1.31,12.87,11.07,23.41,4.14,8.39,11.69,5.71,2.31,11.19,12.07,23.1,10.86,6.71,16.57,5.97,8.85,18.11,11.66,8.32,4.67,13.37,8.01,9.02,20.07,2.33,8.44,12.26,21.83,13.43,8.39,10.39,13.05,4.94,8.6,5.47,7.92,6.63
Bratislava,10.28,9.95,13.17,14.18,16.69,5.01,5.29,0,9.73,8.24,1.87,8.51,3.98,17.1,15.8,23.71,6.93,8.62,16.4,10.79,7.44,14.09,9.73,23.73,15.14,3.18,20.37,8.17,9.36,18.23,10.86,6.97,4.46,9.21,13.06,11.14,21.18,3.12,10.09,8.73,21.67,8.17,12.25,13.06,7.94,0.74,9.54,5.29,3.67,6.85
Brussels,2.22,1.11,20.95,10.13,7.59,13.81,6.67,9.73,0,17.89,11.52,7.75,7.15,7.67,7.3,17.35,2.86,4.69,7.75,9.05,5.32,16.8,18.49,16.87,5.88,8.66,10.65,1.82,4.51,12.39,7.82,6.71,5.57,13.59,10.72,2.66,13.66,7.14,14.88,11.78,16.15,17.09,13.43,16.23,15.34,9.02,15.19,12.07,9.94,4.45
Bucharest,18.53,18.18,8.18,19.88,24.93,4.8,13.11,8.24,17.89,0,6.39,15.81,11.88,25.35,24.0,29.55,15.14,15.84,24.6,17.85,15.4,17.84,7.33,29.88,23.38,9.68,28.53,16.23,16.61,24.24,16.93,13.5,12.39,10.85,19.91,18.98,27.87,11.26,13.42,11.94,27.16,3.3,17.54,16.73,6.63,8.9,12.25,9.64,8.79,14.38
Budapest,12.14,11.79,11.6,15.1,18.55,3.43,7.04,1.87,11.52,6.39,0,10.14,5.75,18.95,17.67,24.76,8.75,10.0,18.27,12.38,9.25,14.82,8.75,24.87,16.99,3.98,22.17,9.91,10.76,19.29,11.85,8.03,6.11,8.76,14.61,12.79,22.47,4.97,10.58,8.7,22.6,6.4,13.36,13.75,6.67,2.51,9.83,5.74,3.81,8.33
Copenhagen,6.25,6.95,21.68,17.21,11.01,13.51,3.4,8.51,7.75,15.81,10.14,0,4.64,11.94,9.55,25.09,6.18,10.86,10.18,2.31,2.58,9.05,13.34,24.62,10.03,10.11,15.94,7.83,11.15,20.04,14.27,11.32,7.81,16.74,4.61,10.4,21.39,5.72,7.63,15.57,23.8,16.53,5.74,8.5,16.4,8.26,8.28,6.82,11.32,9.32
Dresden,7.0,6.99,17.12,14.44,13.24,8.99,1.31,3.98,7.15,11.88,5.75,4.64,0,13.82,12.18,23.33,4.39,8.09,12.8,6.95,3.53,11.8,11.35,23.11,11.82,5.56,17.41,6.13,8.64,17.95,11.19,7.63,3.98,12.23,9.25,9.27,20.19,1.11,8.63,11.23,21.63,12.13,9.25,10.92,11.76,3.63,8.59,4.97,6.71,6.24
Dublin,6.85,7.19,28.59,14.64,1.29,21.45,12.87,17.1,7.67,25.35,18.95,11.94,13.82,0,2.96,17.86,10.23,11.62,2.58,11.68,10.68,19.77,24.87,16.84,2.01,16.33,4.08,9.49,11.1,14.63,13.77,14.05,13.2,20.92,11.93,7.92,13.43,14.19,19.5,18.99,17.81,24.74,16.23,19.61,22.99,16.44,20.21,18.2,17.62,11.99
Edinburgh,5.7,6.45,28.04,16.0,1.7,20.47,11.07,15.8,7.3,24.0,17.67,9.55,12.18,2.96,0,20.37,9.28,11.84,0.64,8.97,8.77,16.92,22.79,19.44,2.22,15.57,6.95,9.07,11.48,16.68,14.54,14.0,12.39,20.89,9.02,8.51,16.0,12.74,16.93,19.07,20.07,23.77,13.41,16.82,22.41,15.21,17.74,16.14,16.92,11.74
Faro,19.15,18.24,27.41,9.71,19.04,24.78,23.41,23.71,17.35,29.55,24.76,25.09,23.33,17.86,20.37,0,19.3,15.32,20.24,26.3,22.6,34.14,33.42,1.42,18.21,20.78,15.75,17.48,14.71,5.48,12.91,16.76,19.71,19.38,27.69,14.7,4.45,22.74,31.84,17.8,2.66,27.02,30.78,33.53,23.65,23.02,31.91,28.1,21.16,17.22
Frankfurt,3.57,3.04,18.78,11.04,9.93,11.26,4.14,6.93,2.86,15.14,8.75,6.18,4.39,10.23,9.28,19.3,0,4.69,9.82,8.03,3.61,15.01,15.67,18.97,8.3,6.3,13.45,1.82,4.98,14.06,8.11,5.61,3.12,12.07,10.09,4.91,15.93,4.29,12.57,10.48,17.8,14.56,11.88,14.31,13.15,6.24,12.74,9.35,7.65,3.34
Geneva,6.83,5.75,17.28,6.43,11.85,11.21,8.39,8.62,4.69,15.84,10.0,10.86,8.09,11.62,11.84,15.32,4.69,0,12.23,12.7,8.3,19.55,18.32,15.22,10.12,6.18,13.66,3.34,0.77,9.89,3.43,2.59,4.39,9.31,14.7,3.76,12.56,7.42,16.71,7.37,13.54,14.27,16.52,18.78,11.85,7.9,16.67,12.78,7.1,1.89
Glasgow,6.25,6.95,28.57,16.18,1.29,21.04,11.69,16.4,7.75,24.6,18.27,10.18,12.8,2.58,0.64,20.24,9.82,12.23,0,9.57,9.4,17.47,23.43,19.27,2.32,16.11,6.45,9.54,11.84,16.7,14.84,14.44,12.93,21.34,9.55,8.81,15.84,13.34,17.55,19.5,20.03,24.34,13.97,17.39,22.94,15.8,18.36,16.77,17.45,12.2
Gothenburg,7.16,8.08,23.95,18.93,10.59,15.76,5.71,10.79,9.05,17.85,12.38,2.31,6.95,11.68,8.97,26.3,8.03,12.7,9.57,0,4.49,8.24,14.71,25.72,9.95,12.4,15.76,9.5,12.91,21.44,16.13,13.42,10.01,19.03,2.3,11.69,22.39,8.03,8.04,17.81,25.19,18.73,4.68,7.96,18.69,10.56,8.97,8.51,13.63,11.3
Hamburg,4.21,4.67,20.45,14.64,9.96,12.4,2.31,7.44,5.32,15.4,9.25,2.58,3.53,10.68,8.77,22.6,3.61,8.3,9.4,4.49,0,11.55,14.19,22.17,8.69,8.3,14.49,5.25,8.58,17.49,11.72,8.93,5.6,14.77,6.67,7.92,18.99,4.33,9.62,13.43,21.25,15.6,8.31,10.93,14.96,6.99,10.03,7.52,9.61,6.82
Helsinki,15.19,15.98,25.58,25.97,18.6,17.99,11.19,14.09,16.8,17.84,14.82,9.05,11.8,19.77,16.92,34.14,15.01,19.55,17.47,8.24,11.55,0,11.75,33.66,18.14,16.9,23.84,16.77,19.95,29.03,22.85,19.42,15.76,23.3,7.96,19.44,30.42,12.79,4.45,22.69,32.79,20.03,3.56,1.11,21.41,14.31,5.59,9.09,17.72,17.81
Kyiv,18.23,18.33,15.5,23.82,24.11,10.09,12.07,9.73,18.49,7.33,8.75,13.34,11.35,24.87,22.79,33.42,15.67,18.32,23.43,14.71,14.19,11.75,0,33.46,22.88,12.68,28.64,17.29,19.03,27.94,20.54,16.66,14.0,16.73,16.23,20.43,30.88,11.41,7.78,17.16,31.33,10.4,12.62,10.72,13.15,10.44,6.51,6.67,12.53,16.49
Lisbon,18.56,17.7,28.11,10.0,18.05,25.09,23.1,23.73,16.87,29.88,24.87,24.62,23.11,16.84,19.44,1.42,18.97,15.22,19.27,25.72,22.17,33.66,33.46,0,17.31,20.88,14.54,17.14,14.56,5.64,13.06,16.84,19.61,19.94,27.01,14.24,3.44,22.57,31.54,18.28,3.7,27.45,30.25,33.09,24.15,23.02,31.66,27.95,21.35,17.1
Liverpool,4.86,5.28,26.83,13.86,1.73,19.55,10.86,15.14,5.88,23.38,16.99,10.03,11.82,2.01,2.22,18.21,8.3,10.12,2.32,9.95,8.69,18.14,22.88,17.31,0,14.48,5.91,7.7,9.68,14.46,12.59,12.45,11.33,19.35,10.45,6.59,13.86,12.2,17.63,17.46,17.86,22.85,14.58,17.91,21.21,14.49,18.31,16.21,15.79,10.29
Ljubljana,9.87,9.22,12.49,11.14,16.16,5.21,6.71,3.18,8.66,9.68,3.98,10.11,5.56,16.33,15.57,20.78,6.3,6.18,16.11,12.4,8.3,16.9,12.68,20.88,14.48,0,19.13,6.87,6.95,15.31,7.87,4.05,3.18,6.67,14.7,9.36,18.53,4.45,13.11,5.79,18.65,8.45,14.7,15.92,6.87,2.69,12.65,8.39,1.36,4.72
London,10.42,10.48,30.94,14.94,5.25,24.34,16.57,20.37,10.65,28.53,22.17,15.94,17.41,4.08,6.95,15.75,13.45,13.66,6.45,15.76,14.49,23.84,28.64,14.54,5.91,19.13,0,12.32,13.0,13.71,14.99,16.24,16.17,22.83,15.97,9.95,11.36,17.63,23.53,20.83,16.28,27.58,20.31,23.69,25.47,19.67,24.22,22.0,20.34,14.51
