City,Country,Latitude,Longitude
Amsterdam,Netherlands,52,4
Antwerp,Belgium,51,4
Athens,Greece,37,23
Barcelona,Spain,41,2
Belfast,Northern Ireland,54,-5
Belgrade,Serbia,44,20
Berlin,Germany,52,13
Bratislava,Slovakia,48,17
Brussels,Belgium,50,4
Bucharest,Romania,44,26
Budapest,Hungary,47,19
Copenhagen,Denmark,55,12
Dresden,Germany, 51,14
Dublin,Ireland,53,-6
Edinburgh, Scotland,55,-3
Faro,Portugal,37,-8
Frankfurt,Germany,50,8
Geneva,Switzerland,46,6
Glasgow,Scotland,55,-4
Gothenburg,Sweden,57,11
Hamburg,Germany,53,10
Helsinki,Finland,60,24
Kyiv,Ukraine,50,30
Lisbon,Portugal,38,-9
Liverpool,England,53,-3
Ljubljana,Slovenia,46,14
London,England,51,-11
Luxembourg,Luxembourg,49,6
Lyon,France,46,5
Madrid,Spain,40,-3
Marseille,France,43,5
Milano,Italy,45,9
Munich,Germany,48,11
Naples,Italy,40,14
Oslo,Norway,59,10
Paris,France,48,2
Porto,Portugal,41,-8
Prague,Czech Republic,50,14
Riga,Latvia,56,24
Rome,Italy,41,12
Sevilla,Spain,37,-5
Sofia,Bulgaria,42,23
Stockholm,Sweden,59,18
Tallinn,Estonia,59,24
Tirana,Albania,41,19
Vienna,Austria,48,16
Vilnius,Lithuania,55,25
Warsaw,Poland,52,21
Zagreb,Croatia,45,15
Zurich,Switzerland,47,8
